,object_id,gid,density,,duplicated_source,dec_error,ra,dec,phot_bp_mean_mag_error,phot_rp_mean_mag,lum_val,b,phot_g_mean_mag,ra_error,pmra_error,radial_velocity_error,phot_bp_mean_mag,phot_rp_mean_flux,pmra,l,source_id,phot_g_mean_flux,teff_val,e_bp_min_rp_val,bp_rp,pmdec_error,radial_velocity,radius_val,pmdec,phot_g_mean_flux_error,parallax,phot_bp_mean_flux_error,phot_bp_mean_flux,phot_rp_mean_mag_error,phot_rp_mean_flux_error,a_g_val,phot_g_mean_mag_error,parallax_error,plx
6702,6702,1,1624.6813,9064,0,0.0199,81.12083626824,1.4589237999899998,0.0048,13.058,0.36,-18.536670119860002,13.8535,0.0232,0.045,,14.547,48034.47696463387,1.315,201.27992512436,3222161023252401280,54194.90955485284,4392.35,,1.489,0.037000000000000005,,1.04,0.073,61.92251914428205,2.8271,91.81887228458788,20976.685274098534,0.003,131.01149683061323,,0.0012,0.025,2.8271
6808,6808,1,1566.599,9181,0,0.0307,81.22608874342,1.66740912896,0.0079,14.1431,0.131,-18.342804552209998,15.1817,0.0349,0.07400000000000001,,16.2702,17682.164466227274,1.2890000000000001,201.14267810971,3222261903444669568,15946.676149012832,3998.01,,2.1271,0.061,,0.75,-0.024,21.464042223788454,2.8355,31.16965049880405,4290.271708927483,0.0038,61.23117652659655,,0.0015,0.0402,2.8355
6805,6805,1,1524.2728,9178,0,0.0538,81.07556326091999,1.6563631547600002,0.0199,15.075,0.051,-18.47934576694,16.2656,0.0643,0.132,,17.7242,7494.825185972416,1.244,201.07504976387,3222261074514809600,5876.208298028418,3846.38,,2.6491,0.105,,0.51,0.057999999999999996,5.699979648744536,2.9017,20.59691981480486,1124.3326616106758,0.0034,23.350754899629298,,0.0011,0.0764,2.9017
6732,6732,1,1417.158,9096,0,0.0324,80.92411091561,1.6795692391100001,0.0063,11.6317,1.237,-18.59984432865,12.2562,0.0341,0.069,9.15,12.7362,178682.68358075575,1.335,200.97533949483997,3222180191690519296,235976.49857938828,5023.33,,1.1045,0.064,24.75,1.47,-0.012,415.6235248232621,2.8765,646.5923899764588,111191.35351713984,0.0048,788.4505632616887,,0.0019,0.044,2.8765
6673,6673,1,1316.0212,9029,0,0.0319,81.05804097544001,1.26199679635,0.0009,10.031,6.167000000000001,-18.687772707260002,10.4229,0.0333,0.064,0.28,10.685,780480.9247184366,1.2919999999999998,201.42873735083,3222104260964662528,1277005.1379725246,6285.0,,0.654,0.059000000000000004,23.67,2.09,0.08800000000000001,400.31225816559686,2.8335,630.379478139844,735427.6294042381,0.0009,670.6115766522586,,0.0003,0.0409,2.8335
6806,6806,1,1308.1338,9179,0,0.0546,81.08447314137,1.68188529121,0.0204,14.5494,0.11699999999999999,-18.45906228965,15.6644,0.0621,0.12300000000000001,,16.9143,12162.005521418865,1.19,201.05621109123,3222261555551168384,10223.567648317554,3461.0,,2.3649,0.099,,0.95,-0.036000000000000004,51.103883087719204,2.906,44.6299260611293,2370.5472151954427,0.0125,140.3312035120777,,0.0054,0.0773,2.906
6833,6833,1,1164.973,9209,0,0.0312,81.04315091416,1.7354122244799999,0.0089,13.6823,0.237,-18.4687701628,14.6503,0.0343,0.069,,15.6007,27031.210932292528,1.526,200.98567025541,3222274444749189632,26014.548135994282,3816.5,,1.9185,0.057999999999999996,,1.11,0.318,47.51233570331709,2.8577,64.84631557598534,7948.08312042007,0.0065,160.87062412303473,,0.002,0.0427,2.8577
6708,6708,1,1153.6378,9070,0,0.024,80.92360657659,1.50006964041,0.0081,12.7748,0.451,-18.68837971499,13.6898,0.0295,0.073,,14.5477,62349.173930473655,1.058,201.14013440737,3222164149988616448,63014.43509914508,4138.0,,1.7728,0.045,,1.31,-0.026000000000000002,114.45874192941469,2.9086,155.73841892073386,20964.450762140008,0.0046,264.87870976340105,,0.002,0.0314,2.9086
6689,6689,1,1143.5448,9051,0,0.0395,80.63615730721,1.37067395961,0.0127,13.8836,0.19,-19.002264289120003,14.8885,0.0475,0.091,,15.9172,22455.29021057924,1.12,201.11034308529,3222144083901466496,20890.827708224562,3778.43,1.165,2.0336,0.071,,1.02,0.001,65.50028550506894,2.897,69.44041907326599,5938.360102415177,0.0087,180.89527511021828,2.324,0.0034,0.05,2.897
6730,6730,1,1013.4044,9094,0,0.0364,81.00655394903,1.61798693089,0.0149,14.2567,0.159,-18.558282240929998,15.3503,0.0423,0.081,,16.539,15925.281031691089,1.256,201.07462094593004,3222178787237127296,13652.927578567509,3507.0,,2.2823,0.069,,1.08,-0.19,33.838244605925176,2.8244,45.94251250356353,3349.3952857496192,0.008,117.95371527296896,,0.0027,0.0506,2.8244
6646,6646,1,1001.7151,9000,0,0.0249,80.71736014668001,0.86568108427,0.0061,13.4019,0.248,-19.17858994227,14.3157,0.0258,0.052000000000000005,,15.1966,34994.78340334746,1.1320000000000001,201.61840863625,3222063475955323904,35405.817143311164,4159.9,0.84,1.7947,0.046,,0.96,0.017,45.133548180455904,2.9207,64.98455057737867,11532.120470972355,0.0049,157.7851116366404,1.66,0.0014,0.0327,2.9207
6683,6683,1,998.92004,9043,0,0.0674,80.65471957843,1.14214888169,0.0177,15.2445,,-19.09808647601,16.4544,0.0789,0.14400000000000002,,17.9667,6411.829332743951,1.053,201.33070525431,3222124773728535936,4938.420855337719,3885.48,,2.7223,0.128,,,-0.11699999999999999,10.102571908255594,2.8805,14.652152852728412,899.2138592267638,0.0045,26.66688142794467,,0.0022,0.0874,2.8805
6714,6714,1,957.3411,9076,0,0.0547,80.98070001085999,1.5714447024399998,0.0121,14.6664,,-18.60363601158,15.8188,0.0607,0.124,,17.1431,10920.11117104913,1.156,201.10403088332,3222166417731327360,8868.117452348113,3910.96,,2.4768,0.099,,,-0.07200000000000001,14.086279502408498,2.9201,21.415974369429247,1920.0393941267541,0.0073,73.17329735598244,,0.0017,0.0751,2.9201
6695,6695,1,944.99536,9057,0,0.0202,80.92849391843001,1.4317139422100003,0.0084,12.8598,0.433,-18.717631066120003,13.6564,0.0225,0.040999999999999995,,14.3439,57658.934773893576,1.385,201.20556309818002,3222157003163047296,64978.16502433799,4450.0,,1.4841,0.036000000000000004,,1.11,-0.14800000000000002,129.4162658198733,2.7876,194.61159414472638,25293.233786228153,0.0059,314.48054052639753,,0.0022,0.0243,2.7876
6803,6803,1,936.4944,9175,0,0.0745,81.25440807957,1.6620222224,0.0118,15.4473,,-18.32077208705,16.6707,0.0761,0.155,,18.2206,5319.145499461521,1.375,201.16224238319,3222258982866905984,4046.490783788309,4060.18,0.426,2.7733,0.146,,,0.298,4.991152164415003,2.8749,7.757108538734259,711.7055379566658,0.0038,18.62168476428845,0.761,0.0013,0.0947,2.8749
6703,6703,1,914.82404,9065,0,0.0597,81.11189088603001,1.47909701731,0.0084,14.7901,0.067,-18.53458843269,15.9278,0.0652,0.12300000000000001,,17.2674,9743.925344368296,1.544,201.25675522338003,3222161091971876352,8020.938456282653,3937.86,,2.4773,0.10099999999999999,,0.56,0.17600000000000002,7.728116111970506,2.8607,13.289121392243894,1712.3677291124195,0.0023,20.832978105924347,,0.001,0.0748,2.8607
6707,6707,1,913.6767,9069,0,0.0493,81.00494131675,1.4732423612,0.0173,15.1207,0.06,-18.63066271052,16.3091,0.0622,0.124,,17.7234,7185.721743958458,1.381,201.20688327655,3222163394074363136,5645.6505995651205,3670.0,,2.6027,0.10099999999999999,,0.61,-0.032,7.733975225517538,2.7847,17.93299621793805,1125.0828639327153,0.0044,29.423038614481158,,0.0015,0.0749,2.7847
