,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
24,79.68332216187109,0.028902264837725605,0.8959275525590791,0.02502124841721133,3233737575023512704,2.811586285181037,0.03684316984837554,1.0641208576780523,0.07205424811439906,-0.0978027808749299,0.05351819203817693,0.19820091,-0.6018579000000001,0.44915482,-0.26700875,0.50185955,-0.5245241999999999,-0.28985417,-0.2104569,-0.5119827,0.41220543,0,24640.276341957404,99.1710021819155,14.709251,7523.339547053338,151.1535545516345,15.660360999999998,26011.6919199342,314.9004566807958,13.723998000000002,1.9363631999999997,,,3910.0,1.757,0.8627,1.0173755,0.21795371,0.9838065564190001,0.4823943661971831,3408,1
122,79.52449281145427,0.08735860742174073,3.976402657296109,0.08072450917845994,3235548333235181696,2.9474604222315484,0.1069429369101122,1.1301530005950775,0.17088623884115778,-0.3970618603102336,0.1394164162217057,-0.39741679999999996,-0.4785696,0.25436231,0.2927945,0.08088908,-0.30334240000000007,-0.27901277,0.19374701,-0.041722227,0.29541573,0,4630.91964995405,6.031678281995616,16.524199,705.4063429390492,11.406659573549527,18.23029,6304.722378931681,23.887494144241856,15.262754999999999,2.967534,,,3529.0925,,,0.5906672,0.048756506,0.9469544027179999,0.18397887323943662,3408,1
205,77.67954609365611,0.04018507401429353,2.5831073779488998,0.031014762489267513,3234954901898432128,2.8001510704884853,0.058286831318037816,1.23808360399547,0.1069953348230619,-0.28398778122722024,0.07884988831575403,-0.11004768,-0.3182348,0.15991174,0.077774756,0.18421757,-0.37723395,0.17886056,0.007188800699999999,-0.111959636,0.07385800000000001,0,10524.185488463068,17.020239374893972,15.6328945,2406.965624147337,20.181868486806312,16.897713,13037.05723666322,58.91395658943034,14.473970999999999,2.4237412999999997,,,3422.0,,,1.0405188,0.1337564,1.0136827579899998,0.21830985915492956,3408,1
263,81.49177980610125,0.03782021028099186,-0.5879811456072807,0.03781950956114466,3220578237608688000,2.954079437636824,0.049696781646885985,1.2247742774925008,0.07542685685200966,-0.08029827408854537,0.06797600394942138,-0.51494884,-0.53513306,-0.023762000000000002,0.30570152,0.36715929999999997,-0.16925786,-0.1826277,0.010091476,-0.42606992,0.20168926,0,21651.97004550024,64.09537450792925,14.849622,6299.197262558742,82.16419895448814,15.853175,23153.720230372648,193.47695693154148,13.8503685,2.0028067,,,3679.3333,2.2537,1.1227,1.1093692,0.20319985,1.0162000153,0.11120892018779342,3408,1
268,81.25953586659917,0.08990447564282351,-0.3855861378097716,0.07570009566537393,3220599957259306624,2.8615104677512555,0.10664998979534247,1.1215934200814195,0.17414756357147065,-0.06644583314705421,0.133576909078242,-0.32752153,-0.51441413,0.2849489,0.0574619,0.41863322,-0.36547917,-0.25372475,-0.18168885,-0.45494944,0.47072753,0,5946.09099703147,7.006316017406504,16.252786999999998,1147.1635563110158,7.847080079753069,17.702324,7505.100236936944,15.603496629366212,15.073528,2.6287956,,,3811.02,,,0.5344926,0.054292905999999995,1.01392701625,0.13791079812206572,3408,1
274,81.34522131645853,0.10468019521199302,0.05718199281130735,0.10881591378248896,3221392086667855744,2.8708914957569625,0.14000361941143175,1.1992712340995089,0.21278311062698266,0.055016346563707116,0.2064624293391827,-0.5085938,-0.39307913,0.07669177,0.3664553,0.09660836,-0.4195384,-0.35218829999999995,0.1581065,-0.05284052,0.15747012,0,2668.476894010741,3.7297790462992113,17.122707000000002,430.5069280905661,6.5065160360891605,18.766438,3669.6064466415423,23.338304492191728,15.850370999999999,2.9160662,,,,,,,,1.0701749920399999,0.21156103286384975,3408,1
275,81.33779375855464,0.031922863583286734,0.18395176619870446,0.028868651730300083,3221405968002139136,2.8565688421702458,0.03745100687407042,1.3749231056200717,0.06816501148596615,-0.11326210244889995,0.05542145461575949,-0.30838153,-0.37780276,0.11794113,0.22832048,-0.0696341,-0.36280587,-0.31422102,0.21456924,0.04761256,0.10875859,0,492070.54687276774,639.134985742171,11.458298,239304.58236050192,934.4240695213222,11.904011,359630.2422799696,1125.1102562967822,10.872278999999999,1.0317315999999999,30.416443694184476,5.180280599544318,5127.4824,,,2.0291576,2.5641477000000004,0.914881066917,0.5099765258215962,3408,1
277,81.53501870521548,0.11628037151447647,0.10346748106884472,0.11139891713656844,3221764511872289408,2.9863557079809144,0.14615806080034174,1.0576286531287382,0.24047349484142574,0.2660325842330026,0.20569765134219364,-0.46599087,-0.4357746,0.13902111,0.36238092,0.03902869,-0.42080814,-0.28689402,0.09264566,0.035661872000000004,0.1256843,0,1929.8367030392026,3.1901561484484398,17.474564,279.35382201683893,9.709131840327265,19.236002,2698.0211091375627,9.255611885577217,16.184307,3.0516949,,,,,,,,1.0475855738200002,0.1159037558685446,3408,1
333,81.20101271268481,0.052994865715411434,-0.7583148694195868,0.04853496062512118,3220568449379273216,2.8780631389872413,0.07315646909166391,1.3541068225542259,0.1210314962849058,-0.06900509452318654,0.10302109818814084,-0.24140018,-0.3522413,0.13278528,0.22192095,0.18127987,-0.26715142,0.121580034,0.03993407,-0.06982943400000001,0.082626805,0,8583.535656439191,9.767015090919823,15.8542,1892.2992638408866,19.863165465311578,17.158915,10448.013916085545,27.77025306940701,14.714335,2.4445791,,,3473.0,,,0.86929166,0.09904781,1.26433123716,0.11238262910798122,3408,1
341,81.10526818009104,0.02481593252076148,0.1477046789815616,0.02290698324387029,3221407617269618048,2.7787755897527355,0.03103264805964437,1.7205341254804247,0.04640315657595768,-0.004340913828624608,0.038763267774138487,-0.47969973,-0.36719835,0.09197085,0.17138137,0.056665767,-0.20480768,-0.3743072,0.4099549,0.0040438813,0.1892953,0,47186.22303354691,50.16764718623815,14.003828,16656.84835076825,66.01984081612726,14.797406,44915.46984651823,236.46361572339254,13.13093,1.6664762,,,4217.92,1.4688,0.7425,1.1135728,0.3536106,1.03472425095,0.10651408450704225,3408,1
